course_id,course_title,domain,level,learning_outcomes,module_no,module_title,study_material,module_learning_outcome
SA-STAT-001,Foundations of Official Statistics,statistical,L1,"Explain the role of official statistics in governance; distinguish population, sample, parameter and statistic; identify types of variables and data sources used by MoSPI.",1,Role of Official Statistics in Governance,"Official statistics support planning, monitoring, evaluation and public accountability in government. Analysts distinguish descriptive evidence from causal claims and document the population, reference period, source and limitations of each statistic before it is used in policy.",Explain why official statistics matter for evidence-based governance and list the key attributes that must be documented for any published statistic.
SA-STAT-001,Foundations of Official Statistics,statistical,L1,"Explain the role of official statistics in governance; distinguish population, sample, parameter and statistic; identify types of variables and data sources used by MoSPI.",2,"Population, Sample and Parameters","A population is the complete set of units under study; a sample is a subset selected to represent it. A parameter describes the population, while a statistic is computed from a sample and used to estimate the parameter, always carrying some sampling error.","Distinguish population, sample, parameter and statistic, and explain why sample-based estimates always carry uncertainty."
SA-STAT-001,Foundations of Official Statistics,statistical,L1,"Explain the role of official statistics in governance; distinguish population, sample, parameter and statistic; identify types of variables and data sources used by MoSPI.",3,Types of Statistical Data and Variables,"Variables are classified as categorical (nominal or ordinal) or numerical (discrete or continuous). MoSPI surveys such as the NSS collect both types, for example household type (categorical) alongside monthly consumption expenditure (continuous numerical).",Classify a given survey variable as categorical or numerical and identify the appropriate summary measure for each.
SA-STAT-001,Foundations of Official Statistics,statistical,L1,"Explain the role of official statistics in governance; distinguish population, sample, parameter and statistic; identify types of variables and data sources used by MoSPI.",4,Sources of Official Statistics in India,"India's statistical system draws on large-scale sample surveys conducted by the NSSO, periodic censuses, and administrative records from line ministries. Each source has distinct coverage, periodicity and quality trade-offs that an analyst must understand before combining them.","Compare survey, census and administrative data sources on coverage, periodicity and typical quality issues."
SA-STAT-001,Foundations of Official Statistics,statistical,L1,"Explain the role of official statistics in governance; distinguish population, sample, parameter and statistic; identify types of variables and data sources used by MoSPI.",5,Documenting Metadata and Data Quality,"Every official statistic should be published with metadata: reference period, geographic coverage, methodology, and known limitations. Data-quality checks include validating totals, checking for outliers, and reconciling figures against prior releases before publication.",Prepare a basic metadata note for a statistical release and list the minimum data-quality checks to run before publishing.
SA-STAT-002,Sampling and Survey Methods for NSS,statistical,L2,Describe common probability sampling designs used in NSS rounds; compute basic design weights; explain stratification and multi-stage sampling.,1,Simple Random and Systematic Sampling,"Simple random sampling gives every unit an equal chance of selection, while systematic sampling selects units at a fixed interval from a randomly chosen start. Both are foundational designs, though systematic sampling can introduce bias if the population has periodic patterns.",Explain simple random and systematic sampling and identify when systematic sampling risks bias.
SA-STAT-002,Sampling and Survey Methods for NSS,statistical,L2,Describe common probability sampling designs used in NSS rounds; compute basic design weights; explain stratification and multi-stage sampling.,2,Stratified Sampling,"Stratified sampling divides the population into homogeneous strata, such as states or urban/rural sectors, before sampling within each. This improves precision when strata differ meaningfully and lets NSS report reliable state-level and sector-level estimates.",Explain when stratified sampling improves precision over simple random sampling and identify appropriate strata for a given survey.
SA-STAT-002,Sampling and Survey Methods for NSS,statistical,L2,Describe common probability sampling designs used in NSS rounds; compute basic design weights; explain stratification and multi-stage sampling.,3,Multi-Stage Sampling Design,"NSS rounds typically use multi-stage designs: villages or urban blocks are selected first-stage units, then households are selected within them. This design reduces field costs but introduces intra-cluster correlation that must be accounted for in variance estimation.",Describe the multi-stage sampling design used in NSS rounds and explain its cost and precision trade-offs.
SA-STAT-002,Sampling and Survey Methods for NSS,statistical,L2,Describe common probability sampling designs used in NSS rounds; compute basic design weights; explain stratification and multi-stage sampling.,4,Design Weights and Estimation,Design weights are the inverse of a unit's selection probability and are used to inflate sample observations to population totals. Analysts must apply the correct weights when computing any survey-based estimate to avoid biased results.,Compute a basic design weight from selection probabilities and apply it to produce a weighted population estimate.
SA-STAT-002,Sampling and Survey Methods for NSS,statistical,L2,Describe common probability sampling designs used in NSS rounds; compute basic design weights; explain stratification and multi-stage sampling.,5,Non-Sampling Errors in Field Surveys,"Non-sampling errors arise from non-response, measurement error, interviewer effects and data entry mistakes, and can be larger than sampling error if uncontrolled. Field supervision, callback protocols and validation checks are used to minimize them.",Identify common sources of non-sampling error in field surveys and describe at least two mitigation practices.
